Category,City,Country,Customer Name,Order Date,Order ID,Postal Code,Product Name,Region,Segment,Ship Date,Ship Mode,State,Sub-Category,Days to Ship Actual,Days to Ship Scheduled,Discount,Number of Records,Profit,Profit Ratio,Quantity,Sales,Sales Forecast,Sales per Customer
Office Supplies,Henderson,United States,Maria Etezadi,7/1/2011,CA-2011-167199,42420,"Alliance Super-Size Bands, Assorted Sizes",South,Home Office,11/1/2011,Standard Class,Kentucky,Fasteners,4,6,0,1,0,0.01,4,31,41,31.12
Office Supplies,Henderson,United States,Maria Etezadi,7/1/2011,CA-2011-167199,42420,Southworth 25% Cotton Granite Paper & Envelopes,South,Home Office,11/1/2011,Standard Class,Kentucky,Paper,4,6,0,1,3,0.46,1,7,9,6.54
Technology,Henderson,United States,Maria Etezadi,7/1/2011,CA-2011-167199,42420,GE 30524EE4,South,Home Office,11/1/2011,Standard Class,Kentucky,Phones,4,6,0,1,114,0.29,2,392,514,391.98
Technology,Henderson,United States,Maria Etezadi,7/1/2011,CA-2011-167199,42420,Wireless Extenders zBoost YX545 SOHO Signal Booster,South,Home Office,11/1/2011,Standard Class,Kentucky,Phones,4,6,0,1,204,0.27,4,756,991,755.96
Furniture,Huntsville,United States,Vivek Sundaresam,8/1/2011,CA-2011-105417,77340,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",Central,Consumer,13/1/2011,Standard Class,Texas,Furnishings,5,6,0.6,1,-54,-0.7,3,77,101,76.73
Office Supplies,Huntsville,United States,Vivek Sundaresam,8/1/2011,CA-2011-105417,77340,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",Central,Consumer,13/1/2011,Standard Class,Texas,Binders,5,6,0.8,1,-18,-1.75,7,10,14,10.43
Office Supplies,Laredo,United States,Melanie Seite,10/1/2011,CA-2011-135405,78041,Newell 312,Central,Consumer,14/1/2011,Standard Class,Texas,Art,4,6,0.2,1,1,0.125,2,9,12,9.34
Technology,Laredo,United States,Melanie Seite,10/1/2011,CA-2011-135405,78041,Memorex Micro Travel Drive 8 GB,Central,Consumer,14/1/2011,Standard Class,Texas,Accessories,4,6,0.2,1,10,0.313,3,31,41,31.2
Furniture,Springfield,United States,Anthony Jacobs,11/1/2011,CA-2011-149020,22153,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",South,Corporate,16/1/2011,Standard Class,Virginia,Furnishings,5,6,0,1,21,0.41,1,52,68,51.94
Office Supplies,Springfield,United States,Anthony Jacobs,11/1/2011,CA-2011-149020,22153,Avery 482,South,Corporate,16/1/2011,Standard Class,Virginia,Labels,5,6,0,1,1,0.47,1,3,4,2.89
Furniture,Dover,United States,Seth Vernon,12/1/2011,CA-2011-130092,19901,"DAX Value U-Channel Document Frames, Easel Back",East,Consumer,15/1/2011,First Class,Delaware,Furnishings,3,1,0,1,3,0.31,2,10,13,9.94
Office Supplies,Bossier City,United States,Chris Selesnick,14/1/2011,CA-2011-162775,71111,Staples,South,Corporate,16/1/2011,Second Class,Louisiana,Binders,2,3,0,1,3,0.48,3,6,7,5.64
Office Supplies,Bossier City,United States,Chris Selesnick,14/1/2011,CA-2011-162775,71111,Brown Kraft Recycled Envelopes,South,Corporate,16/1/2011,Second Class,Louisiana,Envelopes,2,3,0,1,25,0.5,3,51,67,50.94
Office Supplies,Bossier City,United States,Chris Selesnick,14/1/2011,CA-2011-162775,71111,Staples,South,Corporate,16/1/2011,Second Class,Louisiana,Envelopes,2,3,0,1,5,0.47,2,11,15,11.36
Office Supplies,Bossier City,United States,Chris Selesnick,14/1/2011,CA-2011-162775,71111,Fellowes Stor/Drawer Steel Plus Storage Drawers,South,Corporate,16/1/2011,Second Class,Louisiana,Storage,2,3,0,1,34,0.06,6,573,750,572.58
Technology,Bossier City,United States,Chris Selesnick,14/1/2011,CA-2011-162775,71111,Plantronics S12 Corded Telephone Headset System,South,Corporate,16/1/2011,Second Class,Louisiana,Accessories,2,3,0,1,259,0.4,6,647,847,646.74
Furniture,Mount Pleasant,United States,Natalie DeCherney,14/1/2011,CA-2011-109232,29464,Global Highback Leather Tilter in Burgundy,South,Consumer,17/1/2011,Second Class,South Carolina,Chairs,3,3,0,1,87,0.16,6,546,715,545.94
Furniture,San Francisco,United States,Brian Dahlen,14/1/2011,CA-2011-157147,94109,"O'Sullivan Elevations Bookcase, Cherry Finish",West,Consumer,19/1/2011,Standard Class,California,Bookcases,5,6,0.15,1,4,0.012,3,334,438,334
Office Supplies,Newark,United States,Michael Moore,14/1/2011,CA-2011-118192,43055,Avery Metallic Poly Binders,East,Consumer,19/1/2011,Standard Class,Ohio,Binders,5,6,0.7,1,-3,-0.733,2,3,5,3.44
Office Supplies,Newark,United States,Michael Moore,14/1/2011,CA-2011-118192,43055,Xerox 1923,East,Consumer,19/1/2011,Standard Class,Ohio,Paper,5,6,0.2,1,13,0.35,7,37,49,37.41
Office Supplies,San Francisco,United States,Brian Dahlen,14/1/2011,CA-2011-157147,94109,4009 Highlighters by Sanford,West,Consumer,19/1/2011,Standard Class,California,Art,5,6,0,1,7,0.33,5,20,26,19.9
Office Supplies,San Francisco,United States,Brian Dahlen,14/1/2011,CA-2011-157147,94109,Tennsco 6- and 18-Compartment Lockers,West,Consumer,19/1/2011,Standard Class,California,Storage,5,6,0,1,239,0.18,5,1326,1737,1325.85
Furniture,Philadelphia,United States,Brendan Sweed,15/1/2011,CA-2011-149524,19140,Sauder Cornerstone Collection Library,East,Corporate,16/1/2011,First Class,Pennsylvania,Bookcases,1,1,0.5,1,-53,-0.86,4,62,81,61.96
Technology,Roswell,United States,Erica Hackney,16/1/2011,CA-2011-103366,30076,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,South,Consumer,18/1/2011,First Class,Georgia,Accessories,2,1,0,1,66,0.44,5,150,196,149.95
Furniture,Philadelphia,United States,Delfina Latchford,17/1/2011,CA-2011-115791,19134,DAX Black Cherry Wood-Tone Poster Frame,East,Consumer,19/1/2011,Second Class,Pennsylvania,Furnishings,2,3,0.2,1,29,0.225,6,127,167,127.1
Office Supplies,Philadelphia,United States,Delfina Latchford,17/1/2011,CA-2011-115791,19134,GBC Linen Binding Covers,East,Consumer,19/1/2011,Second Class,Pennsylvania,Binders,2,3,0.7,1,-14,-0.733,2,19,24,18.59
Office Supplies,Philadelphia,United States,Delfina Latchford,17/1/2011,CA-2011-115791,19134,Round Specialty Laser Printer Labels,East,Consumer,19/1/2011,Second Class,Pennsylvania,Labels,2,3,0.2,1,10,0.338,3,30,39,30.07
Technology,Philadelphia,United States,Delfina Latchford,17/1/2011,CA-2011-115791,19134,AT&T 841000 Phone,East,Consumer,19/1/2011,Second Class,Pennsylvania,Phones,2,3,0.4,1,-31,-0.25,3,124,163,124.2
Office Supplies,Springfield,United States,David Wiener,19/1/2011,CA-2011-123477,97477,Fellowes Mighty 8 Compact Surge Protector,West,Corporate,22/1/2011,Second Class,Oregon,Appliances,3,3,0.2,1,6,0.1,4,65,85,64.86
Furniture,Scottsdale,United States,Toby Swindell,20/1/2011,CA-2011-146591,85254,O'Sullivan 4-Shelf Bookcase in Odessa Pine,West,Consumer,21/1/2011,First Class,Arizona,Bookcases,1,1,0.7,1,-321,-1.767,5,181,238,181.47
Office Supplies,Scottsdale,United States,Toby Swindell,20/1/2011,CA-2011-146591,85254,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",West,Consumer,21/1/2011,First Class,Arizona,Binders,1,1,0.7,1,-24,-0.733,10,32,42,32.34
Office Supplies,Scottsdale,United States,Toby Swindell,20/1/2011,CA-2011-146591,85254,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",West,Consumer,21/1/2011,First Class,Arizona,Envelopes,1,1,0.2,1,37,0.338,5,109,142,108.72
Office Supplies,Scottsdale,United States,Toby Swindell,20/1/2011,CA-2011-146591,85254,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",West,Consumer,21/1/2011,First Class,Arizona,Paper,1,1,0.2,1,20,0.35,4,56,73,56.06
Furniture,Los Angeles,United States,Mark Van Huff,21/1/2011,CA-2011-148614,90049,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",West,Consumer,26/1/2011,Standard Class,California,Furnishings,5,6,0,1,6,0.3,2,19,25,19.3
Office Supplies,Los Angeles,United States,Mark Van Huff,21/1/2011,CA-2011-148614,90049,"Wirebound Service Call Books, 5 1/2"" x 4""",West,Consumer,26/1/2011,Standard Class,California,Paper,5,6,0,1,9,0.48,2,19,25,19.36
Furniture,Westland,United States,Xylona Preis,21/1/2011,CA-2011-167927,48185,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Central,Consumer,27/1/2011,Standard Class,Michigan,Furnishings,6,6,0,1,30,0.11,3,273,358,272.94
Furniture,Westland,United States,Xylona Preis,21/1/2011,CA-2011-167927,48185,Ultra Door Push Plate,Central,Consumer,27/1/2011,Standard Class,Michigan,Furnishings,6,6,0,1,5,0.33,3,15,19,14.73
Furniture,Jonesboro,United States,Hunter Lopez,21/1/2011,US-2011-147627,72401,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,South,Consumer,27/1/2011,Standard Class,Arkansas,Chairs,6,6,0,1,224,0.21,3,1068,1399,1067.94
Furniture,Jonesboro,United States,Hunter Lopez,21/1/2011,US-2011-147627,72401,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",South,Consumer,27/1/2011,Standard Class,Arkansas,Furnishings,6,6,0,1,12,0.3,4,39,51,38.6
Office Supplies,Westland,United States,Xylona Preis,21/1/2011,CA-2011-167927,48185,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Central,Consumer,27/1/2011,Standard Class,Michigan,Appliances,6,6,0.1,1,94,0.378,4,248,325,247.72
Office Supplies,Westland,United States,Xylona Preis,21/1/2011,CA-2011-167927,48185,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,Central,Consumer,27/1/2011,Standard Class,Michigan,Art,6,6,0,1,13,0.29,3,44,58,43.92
Office Supplies,Westland,United States,Xylona Preis,21/1/2011,CA-2011-167927,48185,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",Central,Consumer,27/1/2011,Standard Class,Michigan,Binders,6,6,0,1,9,0.47,5,19,25,19.05
Office Supplies,Westland,United States,Xylona Preis,21/1/2011,CA-2011-167927,48185,Storex Dura Pro Binders,Central,Consumer,27/1/2011,Standard Class,Michigan,Binders,6,6,0,1,13,0.45,5,30,39,29.7
Office Supplies,Westland,United States,Xylona Preis,21/1/2011,CA-2011-167927,48185,Eldon Fold 'N Roll Cart System,Central,Consumer,27/1/2011,Standard Class,Michigan,Storage,6,6,0,1,4,0.29,1,14,18,13.98
Office Supplies,Westland,United States,Xylona Preis,21/1/2011,CA-2011-167927,48185,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,Central,Consumer,27/1/2011,Standard Class,Michigan,Storage,6,6,0,1,16,0.24,2,67,87,66.58
Office Supplies,Jonesboro,United States,Hunter Lopez,21/1/2011,US-2011-147627,72401,Newell 327,South,Consumer,27/1/2011,Standard Class,Arkansas,Art,6,6,0,1,2,0.27,3,7,9,6.63
Office Supplies,Jonesboro,United States,Hunter Lopez,21/1/2011,US-2011-147627,72401,Newell 351,South,Consumer,27/1/2011,Standard Class,Arkansas,Art,6,6,0,1,7,0.29,7,23,30,22.96
Office Supplies,Jonesboro,United States,Hunter Lopez,21/1/2011,US-2011-147627,72401,Staples,South,Consumer,27/1/2011,Standard Class,Arkansas,Envelopes,6,6,0,1,11,0.47,3,23,31,23.34
Office Supplies,Smyrna,United States,Muhammed MacIntyre,21/1/2011,US-2011-147774,37167,GBC DocuBind TL200 Manual Binding Machine,South,Corporate,27/1/2011,Standard Class,Tennessee,Binders,6,6,0.7,1,-52,-0.767,1,67,88,67.19
Technology,Jonesboro,United States,Hunter Lopez,21/1/2011,US-2011-147627,72401,Apple iPhone 5C,South,Consumer,27/1/2011,Standard Class,Arkansas,Phones,6,6,0,1,182,0.26,7,700,917,699.93
Furniture,Miami,United States,Tom Boeckenhauer,22/1/2011,CA-2011-110422,33180,Ultra Door Pull Handle,South,Consumer,24/1/2011,Second Class,Florida,Furnishings,2,3,0.2,1,4,0.163,3,25,33,25.25
Office Supplies,Lafayette,United States,Speros Goranitis,24/1/2011,CA-2011-146997,47905,"Alliance Big Bands Rubber Bands, 12/Pack",Central,Consumer,28/1/2011,Standard Class,Indiana,Fasteners,4,6,0,1,0,0,3,6,8,5.94
Office Supplies,Las Vegas,United States,Ionia McGrath,24/1/2011,CA-2011-102645,89115,Xerox 195,West,Consumer,29/1/2011,Standard Class,Nevada,Paper,5,6,0,1,19,0.48,6,40,53,40.08
Furniture,Rapid City,United States,Carol Adams,27/1/2011,CA-2011-167997,57701,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",Central,Corporate,30/1/2011,First Class,South Dakota,Bookcases,3,1,0,1,40,0.28,2,142,186,141.96
Office Supplies,Rapid City,United States,Carol Adams,27/1/2011,CA-2011-167997,57701,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,Central,Corporate,30/1/2011,First Class,South Dakota,Binders,3,1,0,1,5,0.47,2,11,14,10.68
Furniture,Alexandria,United States,Shirley Daniels,27/1/2011,US-2011-155502,22304,Eldon Image Series Black Desk Accessories,South,Home Office,1/2/2011,Standard Class,Virginia,Furnishings,5,6,0,1,4,0.36,3,12,16,12.42
Furniture,Alexandria,United States,Shirley Daniels,27/1/2011,US-2011-155502,22304,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",South,Home Office,1/2/2011,Standard Class,Virginia,Furnishings,5,6,0,1,31,0.49,3,63,82,62.82
Office Supplies,Alexandria,United States,Shirley Daniels,27/1/2011,US-2011-155502,22304,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",South,Home Office,1/2/2011,Standard Class,Virginia,Paper,5,6,0,1,9,0.48,3,19,25,19.44
Office Supplies,Alexandria,United States,Shirley Daniels,27/1/2011,US-2011-155502,22304,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",South,Home Office,1/2/2011,Standard Class,Virginia,Paper,5,6,0,1,8,0.5,2,17,22,16.68
Office Supplies,Alexandria,United States,Shirley Daniels,27/1/2011,US-2011-155502,22304,"SAFCO Commercial Wire Shelving, 72h",South,Home Office,1/2/2011,Standard Class,Virginia,Storage,5,6,0,1,0,0,8,490,642,489.92
Technology,Alexandria,United States,Shirley Daniels,27/1/2011,US-2011-155502,22304,Jabra SPEAK 410,South,Home Office,1/2/2011,Standard Class,Virginia,Phones,5,6,0,1,53,0.28,2,188,246,187.98
Technology,Alexandria,United States,Shirley Daniels,27/1/2011,US-2011-155502,22304,Macally Suction Cup Mount,South,Home Office,1/2/2011,Standard Class,Virginia,Phones,5,6,0,1,0,0,13,155,204,155.35
Furniture,San Diego,United States,Ed Jacobs,28/1/2011,US-2011-117163,92037,Balt Split Level Computer Training Table,West,Consumer,3/2/2011,Standard Class,California,Tables,6,6,0.2,1,-17,-0.05,3,333,436,333
Office Supplies,San Diego,United States,Ed Jacobs,28/1/2011,US-2011-117163,92037,Dixon Ticonderoga Core-Lock Colored Pencils,West,Consumer,3/2/2011,Standard Class,California,Art,6,6,0,1,12,0.33,4,36,48,36.44
Office Supplies,San Diego,United States,Ed Jacobs,28/1/2011,US-2011-117163,92037,Recycled Steel Personal File for Hanging File Folders,West,Consumer,3/2/2011,Standard Class,California,Storage,6,6,0,1,14,0.25,1,57,75,57.23
Office Supplies,New York City,United States,Jasper Cacioppo,29/1/2011,CA-2011-100328,10024,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",East,Consumer,4/2/2011,Standard Class,New York,Binders,6,6,0.2,1,1,0.338,1,4,5,3.93
Office Supplies,Detroit,United States,Mike Vittorini,31/1/2011,CA-2011-134103,48234,Xerox 1972,Central,Consumer,5/2/2011,Standard Class,Michigan,Paper,5,6,0,1,5,0.45,2,11,14,10.56
Office Supplies,Detroit,United States,Mike Vittorini,31/1/2011,CA-2011-134103,48234,Space Solutions HD Industrial Steel Shelving.,Central,Consumer,5/2/2011,Standard Class,Michigan,Storage,5,6,0,1,7,0.03,2,230,301,229.94
Furniture,Mission Viejo,United States,Liz Carlisle,1/2/2011,CA-2011-115161,92691,"Sauder Facets Collection Library, Sky Alder Finish",West,Consumer,3/2/2011,First Class,California,Bookcases,2,1,0.15,1,3,0.012,2,291,381,290.67
Technology,Green Bay,United States,Bradley Drucker,2/2/2011,CA-2011-140795,54302,Enermax Aurora Lite Keyboard,Central,Consumer,4/2/2011,First Class,Wisconsin,Accessories,2,1,0,1,206,0.44,6,469,614,468.9
Office Supplies,San Diego,United States,Cynthia Delaney,3/2/2011,CA-2011-139857,92037,Staples,West,Home Office,7/2/2011,Standard Class,California,Fasteners,4,6,0,1,6,0.47,5,12,16,12.35
Office Supplies,Saint Petersburg,United States,Eric Barreto,3/2/2011,CA-2011-123400,33710,Surelock Post Binders,South,Consumer,10/2/2011,Standard Class,Florida,Binders,7,6,0.7,1,-12,-0.667,2,18,24,18.34
Technology,Saint Petersburg,United States,Eric Barreto,3/2/2011,CA-2011-123400,33710,AT&T 17929 Lendline Telephone,South,Consumer,10/2/2011,Standard Class,Florida,Phones,7,6,0.2,1,14,0.075,5,181,237,180.96
Office Supplies,Seattle,United States,Tom Boeckenhauer,4/2/2011,CA-2011-111059,98105,Avery Durable Poly Binders,West,Consumer,7/2/2011,Second Class,Washington,Binders,3,3,0.2,1,4,0.325,3,13,17,13.27
Office Supplies,Seattle,United States,Tom Boeckenhauer,4/2/2011,CA-2011-111059,98105,Ibico Laser Imprintable Binding System Covers,West,Consumer,7/2/2011,Second Class,Washington,Binders,3,3,0.2,1,27,0.325,2,84,110,83.84
Office Supplies,Escondido,United States,Mark Haberlin,5/2/2011,CA-2011-104808,92025,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",West,Corporate,9/2/2011,Second Class,California,Binders,4,3,0.2,1,6,0.35,2,17,23,17.25
Office Supplies,San Diego,United States,Deborah Brumfield,5/2/2011,CA-2011-107181,92024,GBC Recycled Grain Textured Covers,West,Home Office,9/2/2011,Standard Class,California,Binders,4,6,0.2,1,29,0.35,3,83,109,82.9
Office Supplies,San Diego,United States,Deborah Brumfield,5/2/2011,CA-2011-107181,92024,"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book",West,Home Office,9/2/2011,Standard Class,California,Paper,4,6,0,1,16,0.47,4,34,45,34.24
Office Supplies,Chesapeake,United States,Neil Ducich,7/2/2011,CA-2011-131905,23320,Avery 480,South,Corporate,10/2/2011,First Class,Virginia,Labels,3,1,0,1,7,0.48,4,15,20,15
Technology,Chesapeake,United States,Neil Ducich,7/2/2011,CA-2011-131905,23320,Aastra 57i VoIP phone,South,Corporate,10/2/2011,First Class,Virginia,Phones,3,1,0,1,42,0.26,1,162,212,161.61
Technology,Chesapeake,United States,Neil Ducich,7/2/2011,CA-2011-131905,23320,AT&T CL82213,South,Corporate,10/2/2011,First Class,Virginia,Phones,3,1,0,1,42,0.29,5,145,190,144.95
Office Supplies,Romeoville,United States,Delfina Latchford,7/2/2011,CA-2011-108182,60441,"Avery Flip-Chart Easel Binder, Black",Central,Consumer,11/2/2011,Second Class,Illinois,Binders,4,3,0.8,1,-15,-1.65,2,9,12,8.95
Office Supplies,New York City,United States,Chris Selesnick,8/2/2011,US-2011-169390,10024,Acco Perma 4000 Stacking Storage Drawers,East,Corporate,11/2/2011,Second Class,New York,Storage,3,3,0,1,10,0.15,4,65,85,64.96
Technology,Linden,United States,Cyma Kinney,8/2/2011,CA-2011-107755,7036,Maxell DVD-RAM Discs,East,Corporate,13/2/2011,Standard Class,New Jersey,Accessories,5,6,0,1,50,0.43,7,115,151,115.36
Furniture,North Las Vegas,United States,Nathan Mautz,9/2/2011,CA-2011-125759,89031,"Master Caster Door Stop, Large Brown",West,Home Office,10/2/2011,First Class,Nevada,Furnishings,1,1,0,1,6,0.38,2,15,19,14.56
Furniture,Columbia,United States,Guy Armstrong,12/2/2011,CA-2011-168368,65203,"Global Value Mid-Back Manager's Chair, Gray",Central,Consumer,16/2/2011,Second Class,Missouri,Chairs,4,3,0,1,15,0.25,1,61,80,60.89
Furniture,Columbia,United States,Guy Armstrong,12/2/2011,CA-2011-168368,65203,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",Central,Consumer,16/2/2011,Second Class,Missouri,Furnishings,4,3,0,1,53,0.16,3,333,436,332.94
Furniture,Chesapeake,United States,Natalie Fritzler,12/2/2011,CA-2011-127614,23320,Hon 2111 Invitation Series Corner Table,South,Consumer,16/2/2011,Standard Class,Virginia,Tables,4,6,0,1,75,0.06,6,1256,1646,1256.22
Office Supplies,Columbia,United States,Guy Armstrong,12/2/2011,CA-2011-168368,65203,VariCap6 Expandable Binder,Central,Consumer,16/2/2011,Second Class,Missouri,Binders,4,3,0,1,24,0.47,3,52,68,51.9
Office Supplies,Columbia,United States,Guy Armstrong,12/2/2011,CA-2011-168368,65203,Wilson Jones Turn Tabs Binder Tool for Ring Binders,Central,Consumer,16/2/2011,Second Class,Missouri,Binders,4,3,0,1,4,0.46,2,10,13,9.64
Office Supplies,Columbia,United States,Guy Armstrong,12/2/2011,CA-2011-168368,65203,Avery 483,Central,Consumer,16/2/2011,Second Class,Missouri,Labels,4,3,0,1,7,0.46,3,15,20,14.94
Office Supplies,Columbia,United States,Guy Armstrong,12/2/2011,CA-2011-168368,65203,Fellowes Neat Ideas Storage Cubes,Central,Consumer,16/2/2011,Second Class,Missouri,Storage,4,3,0,1,3,0.04,2,65,85,64.96
Office Supplies,Chesapeake,United States,Natalie Fritzler,12/2/2011,CA-2011-127614,23320,Wilson Jones Leather-Like Binders with DublLock Round Rings,South,Consumer,16/2/2011,Standard Class,Virginia,Binders,4,6,0,1,8,0.47,2,17,23,17.46
Technology,Chesapeake,United States,Natalie Fritzler,12/2/2011,CA-2011-127614,23320,Enermax Aurora Lite Keyboard,South,Consumer,16/2/2011,Standard Class,Virginia,Accessories,4,6,0,1,103,0.44,3,234,307,234.45
Furniture,Concord,United States,Sanjit Chand,13/2/2011,US-2011-110674,94521,"Global Geo Office Task Chair, Gray",West,Consumer,19/2/2011,Standard Class,California,Chairs,6,6,0.2,1,-24,-0.188,2,130,170,129.57
Office Supplies,Seattle,United States,Marina Lichtenstein,15/2/2011,CA-2011-121762,98103,Belkin 8 Outlet Surge Protector,West,Corporate,19/2/2011,Standard Class,Washington,Appliances,4,6,0,1,23,0.28,2,82,107,81.96
Office Supplies,Seattle,United States,Marina Lichtenstein,15/2/2011,CA-2011-121762,98103,Compact Automatic Electric Letter Opener,West,Corporate,19/2/2011,Standard Class,Washington,Supplies,4,6,0,1,5,0.02,2,239,313,238.62
Technology,Seattle,United States,Marina Lichtenstein,15/2/2011,CA-2011-121762,98103,Logitech G600 MMO Gaming Mouse,West,Corporate,19/2/2011,Standard Class,Washington,Accessories,4,6,0,1,86,0.36,3,240,314,239.97
Office Supplies,Houston,United States,Shui Tom,15/2/2011,CA-2011-107706,77095,"Memo Book, 100 Message Capacity, 5 3/8” x 11”",Central,Consumer,20/2/2011,Second Class,Texas,Paper,5,3,0.2,1,6,0.375,3,16,21,16.18
Office Supplies,Seattle,United States,Barry Französisch,16/2/2011,CA-2011-165568,98105,Pressboard Data Binders by Wilson Jones,West,Corporate,20/2/2011,Standard Class,Washington,Binders,4,6,0.2,1,7,0.338,5,21,28,21.36
Office Supplies,Dallas,United States,Michael Nguyen,17/2/2011,CA-2011-122567,75220,"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter",Central,Consumer,22/2/2011,Standard Class,Texas,Appliances,5,6,0.8,1,-14,-1.75,2,8,10,7.96
Office Supplies,Dallas,United States,Michael Nguyen,17/2/2011,CA-2011-122567,75220,Wilson Jones Easy Flow II Sheet Lifters,Central,Consumer,22/2/2011,Standard Class,Texas,Binders,5,6,0.8,1,-2,-1.6,3,1,1,1.08
Office Supplies,Chicago,United States,Delfina Latchford,18/2/2011,CA-2011-154165,60653,Staples,Central,Consumer,25/2/2011,Standard Class,Illinois,Art,7,6,0.2,1,9,0.163,14,54,71,54.21
Furniture,Lubbock,United States,Troy Blackwell,19/2/2011,US-2011-165589,79424,"DAX Copper Panel Document Frame, 5 x 7 Size",Central,Consumer,19/2/2011,Same Day,Texas,Furnishings,0,0,0.6,1,-11,-0.45,5,25,33,25.16
Office Supplies,Arlington,United States,Aaron Bergman,19/2/2011,CA-2011-152905,76017,Akro Stacking Bins,Central,Consumer,25/2/2011,Standard Class,Texas,Storage,6,6,0.2,1,-3,-0.2,2,13,17,12.62
Office Supplies,Los Angeles,United States,Steven Roelle,21/2/2011,CA-2011-164903,90049,Xerox 204,West,Home Office,25/2/2011,Standard Class,California,Paper,4,6,0,1,6,0.48,2,13,17,12.96
